50AA01-0820-4266	
This data for reference only	
1076	0.5787
1077	0.5788
1078	0.5789
1079	0.5790
1080	0.5791
1081	0.5792
1082	0.5793
1083	0.5794
1084	0.5795
1085	0.5796
1086	0.5797
1087	0.5798
1088	0.5799
1089	0.5800
1090	0.5801
1091	0.5802
1092	0.5803
1093	0.5804
1094	0.5805
1095	0.5806
1096	0.5807
1097	0.5808
1098	0.5809
1099	0.5810
1100	0.5811
1101	0.5812
1102	0.5813
1103	0.5814
1104	0.5814
1105	0.5815
1106	0.5817
1107	0.5817
1108	0.5818
1109	0.5819
1110	0.5820
1111	0.5821
1112	0.5822
1113	0.5823
1114	0.5824
1115	0.5825
1116	0.5825
1117	0.5826
1118	0.5827
1119	0.5828
1120	0.5829
1121	0.5830
1122	0.5832
1123	0.5832
1124	0.5833
1125	0.5834
1126	0.5836
1127	0.5837
1128	0.5838
1129	0.5839
1130	0.5840
1131	0.5841
1132	0.5842
1133	0.5843
1134	0.5844
1135	0.5844
1136	0.5845
1137	0.5846
1138	0.5847
1139	0.5848
1140	0.5849
1141	0.5850
1142	0.5851
1143	0.5852
1144	0.5853
1145	0.5854
1146	0.5855
1147	0.5856
1148	0.5857
1149	0.5858
1150	0.5859
1151	0.5860
1152	0.5861
1153	0.5862
1154	0.5863
1155	0.5863
1156	0.5864
1157	0.5865
1158	0.5866
1159	0.5867
1160	0.5868
1161	0.5869
1162	0.5870
1163	0.5871
1164	0.5872
1165	0.5873
1166	0.5873
1167	0.5875
1168	0.5875
1169	0.5876
1170	0.5877
1171	0.5878
1172	0.5879
1173	0.5880
1174	0.5881
1175	0.5882
1176	0.5877
1177	0.5877
1178	0.5879
1179	0.5880
1180	0.5881
1181	0.5881
1182	0.5882
1183	0.5883
1184	0.5883
1185	0.5884
1186	0.5885
1187	0.5887
1188	0.5888
1189	0.5888
1190	0.5889
1191	0.5891
1192	0.5892
1193	0.5892
1194	0.5893
1195	0.5894
1196	0.5895
1197	0.5896
1198	0.5898
1199	0.5898
1200	0.5899
1201	0.5900
1202	0.5901
1203	0.5902
1204	0.5903
1205	0.5903
1206	0.5904
1207	0.5905
1208	0.5906
1209	0.5907
1210	0.5908
1211	0.5909
1212	0.5910
1213	0.5911
1214	0.5912
1215	0.5913
1216	0.5913
1217	0.5914
1218	0.5915
1219	0.5916
1220	0.5917
1221	0.5917
1222	0.5918
1223	0.5919
1224	0.5920
1225	0.5921
1226	0.5922
1227	0.5923
1228	0.5924
1229	0.5925
1230	0.5926
1231	0.5927
1232	0.5927
1233	0.5928
1234	0.5929
1235	0.5930
1236	0.5931
1237	0.5932
1238	0.5933
1239	0.5933
1240	0.5934
1241	0.5935
1242	0.5936
1243	0.5937
1244	0.5938
1245	0.5939
1246	0.5940
1247	0.5940
1248	0.5941
1249	0.5942
1250	0.5943
1251	0.5944
1252	0.5944
1253	0.5945
1254	0.5946
1255	0.5947
1256	0.5948
1257	0.5949
1258	0.5950
1259	0.5951
1260	0.5951
1261	0.5952
1262	0.5953
1263	0.5954
1264	0.5955
1265	0.5955
1266	0.5956
1267	0.5957
1268	0.5958
1269	0.5959
1270	0.5960
1271	0.5961
1272	0.5961
1273	0.5962
1274	0.5963
1275	0.5964
1276	0.5959
1277	0.5960
1278	0.5961
1279	0.5962
1280	0.5962
1281	0.5963
1282	0.5964
1283	0.5965
1284	0.5966
1285	0.5967
1286	0.5967
1287	0.5968
1288	0.5969
1289	0.5970
1290	0.5971
1291	0.5971
1292	0.5972
1293	0.5973
1294	0.5974
1295	0.5975
1296	0.5976
1297	0.5977
1298	0.5978
1299	0.5978
1300	0.5979
1301	0.5980
1302	0.5981
1303	0.5982
1304	0.5983
1305	0.5983
1306	0.5984
1307	0.5985
1308	0.5986
1309	0.5987
1310	0.5988
1311	0.5988
1312	0.5989
1313	0.5990
1314	0.5990
1315	0.5991
1316	0.5992
1317	0.5993
1318	0.5994
1319	0.5995
1320	0.5996
1321	0.5996
1322	0.5997
1323	0.5998
1324	0.5999
1325	0.6000
1326	0.5994
1327	0.5995
1328	0.5996
1329	0.5996
1330	0.5998
1331	0.5999
1332	0.5999
1333	0.6000
1334	0.6001
1335	0.6002
1336	0.6002
1337	0.6003
1338	0.6004
1339	0.6005
1340	0.6005
1341	0.6006
1342	0.6007
1343	0.6007
1344	0.6008
1345	0.6009
1346	0.6009
1347	0.6010
1348	0.6010
1349	0.6011
1350	0.6011
1351	0.6011
1352	0.6012
1353	0.6013
1354	0.6013
1355	0.6014
1356	0.6015
1357	0.6016
1358	0.6018
1359	0.6018
1360	0.6020
1361	0.6021
1362	0.6022
1363	0.6023
1364	0.6024
1365	0.6026
1366	0.6027
1367	0.6028
1368	0.6028
1369	0.6029
1370	0.6030
1371	0.6031
1372	0.6032
1373	0.6033
1374	0.6034
1375	0.6035
1376	0.6035
1377	0.6036
1378	0.6037
1379	0.6037
1380	0.6038
1381	0.6039
1382	0.6040
1383	0.6042
1384	0.6042
1385	0.6043
1386	0.6044
1387	0.6045
1388	0.6045
1389	0.6046
1390	0.6047
1391	0.6047
1392	0.6048
1393	0.6049
1394	0.6050
1395	0.6051
1396	0.6052
1397	0.6053
1398	0.6053
1399	0.6054
1400	0.6055
1401	0.6056
1402	0.6057
1403	0.6058
1404	0.6058
1405	0.6060
1406	0.6060
1407	0.6061
1408	0.6062
1409	0.6063
1410	0.6063
1411	0.6064
1412	0.6065
1413	0.6065
1414	0.6066
1415	0.6067
1416	0.6067
1417	0.6068
1418	0.6069
1419	0.6069
1420	0.6070
1421	0.6071
1422	0.6071
1423	0.6072
1424	0.6073
1425	0.6080
1426	0.6080
1427	0.6081
1428	0.6081
1429	0.6082
1430	0.6083
1431	0.6084
1432	0.6085
1433	0.6085
1434	0.6086
1435	0.6087
1436	0.6087
1437	0.6088
1438	0.6089
1439	0.6090
1440	0.6091
1441	0.6091
1442	0.6092
1443	0.6093
1444	0.6093
1445	0.6094
1446	0.6095
1447	0.6096
1448	0.6096
1449	0.6097
1450	0.6098
1451	0.6098
1452	0.6099
1453	0.6100
1454	0.6101
1455	0.6102
1456	0.6102
1457	0.6103
1458	0.6103
1459	0.6104
1460	0.6104
1461	0.6105
1462	0.6106
1463	0.6107
1464	0.6108
1465	0.6108
1466	0.6109
1467	0.6109
1468	0.6110
1469	0.6111
1470	0.6111
1471	0.6112
1472	0.6113
1473	0.6114
1474	0.6115
1475	0.6116
1476	0.6116
1477	0.6117
1478	0.6118
1479	0.6119
1480	0.6119
1481	0.6120
1482	0.6121
1483	0.6121
1484	0.6122
1485	0.6123
1486	0.6124
1487	0.6124
1488	0.6125
1489	0.6126
1490	0.6126
1491	0.6127
1492	0.6128
1493	0.6129
1494	0.6130
1495	0.6130
1496	0.6131
1497	0.6132
1498	0.6133
1499	0.6133
1500	0.6134
1501	0.6135
1502	0.6135
1503	0.6136
1504	0.6136
1505	0.6137
1506	0.6138
1507	0.6139
1508	0.6139
1509	0.6140
1510	0.6141
1511	0.6142
1512	0.6142
1513	0.6143
1514	0.6144
1515	0.6145
1516	0.6145
1517	0.6146
1518	0.6147
1519	0.6147
1520	0.6148
1521	0.6149
1522	0.6150
1523	0.6150
1524	0.6151
1525	0.6152
1526	0.6153
1527	0.6154
1528	0.6154
1529	0.6155
1530	0.6156
1531	0.6157
1532	0.6157
1533	0.6158
1534	0.6159
1535	0.6160
1536	0.6161
1537	0.6161
1538	0.6162
1539	0.6162
1540	0.6163
1541	0.6163
1542	0.6164
1543	0.6165
1544	0.6166
1545	0.6166
1546	0.6167
1547	0.6168
1548	0.6169
1549	0.6169
1550	0.6170
1551	0.6170
1552	0.6171
1553	0.6171
1554	0.6173
1555	0.6173
1556	0.6174
1557	0.6175
1558	0.6175
1559	0.6176
1560	0.6177
1561	0.6178
1562	0.6179
1563	0.6180
1564	0.6180
1565	0.6181
1566	0.6182
1567	0.6182
1568	0.6183
1569	0.6183
1570	0.6184
1571	0.6185
1572	0.6186
1573	0.6186
1574	0.6187
1575	0.6187
1576	0.6188
1577	0.6189
1578	0.6190
